interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,254042.0
2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,211520.0
2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,280364.0
2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,199689.0
2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,208495.0
2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,142152.0
2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,152555.0
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,175588.0
2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,220085.0
2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,185443.0
2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,301338.0
2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,218335.0
2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,142229.0
2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,214450.0
2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,186065.0
2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,290413.0
2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,313002.0
2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,269488.0
2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,143132.0
2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,164315.0
2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,158616.0
2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,269627.0
2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,235549.0
2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,298923.0
