interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2023-07-03T13:00:00-04:00,2023-07-03T17:00:00+00:00,2023-07-03T14:00:00-04:00,2023-07-03T18:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,45.26,45.73,0.0,-0.47
2023-07-03T14:00:00-04:00,2023-07-03T18:00:00+00:00,2023-07-03T15:00:00-04:00,2023-07-03T19:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,47.5,47.79,0.0,-0.29
2023-07-03T15:00:00-04:00,2023-07-03T19:00:00+00:00,2023-07-03T16:00:00-04:00,2023-07-03T20:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,55.13,55.67,0.0,-0.54
2023-07-03T16:00:00-04:00,2023-07-03T20:00:00+00:00,2023-07-03T17:00:00-04:00,2023-07-03T21:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,59.36,59.82,0.0,-0.46
2023-07-03T17:00:00-04:00,2023-07-03T21:00:00+00:00,2023-07-03T18:00:00-04:00,2023-07-03T22:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,64.14,64.59,0.0,-0.45
2023-07-03T18:00:00-04:00,2023-07-03T22:00:00+00:00,2023-07-03T19:00:00-04:00,2023-07-03T23:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,63.74,64.42,0.0,-0.68
2023-07-03T19:00:00-04:00,2023-07-03T23:00:00+00:00,2023-07-03T20:00:00-04:00,2023-07-04T00:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,58.22,58.53,0.0,-0.31
2023-07-03T20:00:00-04:00,2023-07-04T00:00:00+00:00,2023-07-03T21:00:00-04:00,2023-07-04T01:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,52.05,52.63,0.0,-0.58
2023-07-03T21:00:00-04:00,2023-07-04T01:00:00+00:00,2023-07-03T22:00:00-04:00,2023-07-04T02:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,46.42,47.25,0.0,-0.83
2023-07-03T22:00:00-04:00,2023-07-04T02:00:00+00:00,2023-07-03T23:00:00-04:00,2023-07-04T03:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,41.9,42.71,0.0,-0.81
2023-07-03T23:00:00-04:00,2023-07-04T03:00:00+00:00,2023-07-04T00:00:00-04:00,2023-07-04T04:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,39.13,40.1,0.0,-0.97
2023-07-04T00:00:00-04:00,2023-07-04T04:00:00+00:00,2023-07-04T01:00:00-04:00,2023-07-04T05:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,39.02,39.85,0.0,-0.83
2023-07-04T01:00:00-04:00,2023-07-04T05:00:00+00:00,2023-07-04T02:00:00-04:00,2023-07-04T06:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,35.67,36.83,0.0,-1.16
2023-07-04T02:00:00-04:00,2023-07-04T06:00:00+00:00,2023-07-04T03:00:00-04:00,2023-07-04T07:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.81,33.0,0.0,-1.19
2023-07-04T03:00:00-04:00,2023-07-04T07:00:00+00:00,2023-07-04T04:00:00-04:00,2023-07-04T08:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.79,30.81,0.0,-1.02
2023-07-04T04:00:00-04:00,2023-07-04T08:00:00+00:00,2023-07-04T05:00:00-04:00,2023-07-04T09:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.25,30.24,0.0,-0.99
2023-07-04T05:00:00-04:00,2023-07-04T09:00:00+00:00,2023-07-04T06:00:00-04:00,2023-07-04T10:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.45,30.5,0.0,-1.05
2023-07-04T06:00:00-04:00,2023-07-04T10:00:00+00:00,2023-07-04T07:00:00-04:00,2023-07-04T11:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.63,30.63,0.0,-1.0
2023-07-04T07:00:00-04:00,2023-07-04T11:00:00+00:00,2023-07-04T08:00:00-04:00,2023-07-04T12:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,28.75,29.72,0.0,-0.97
2023-07-04T08:00:00-04:00,2023-07-04T12:00:00+00:00,2023-07-04T09:00:00-04:00,2023-07-04T13:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.5,31.44,0.0,-0.94
2023-07-04T09:00:00-04:00,2023-07-04T13:00:00+00:00,2023-07-04T10:00:00-04:00,2023-07-04T14:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.93,30.83,0.0,-0.9
2023-07-04T10:00:00-04:00,2023-07-04T14:00:00+00:00,2023-07-04T11:00:00-04:00,2023-07-04T15:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.51,31.27,0.0,-0.76
2023-07-04T11:00:00-04:00,2023-07-04T15:00:00+00:00,2023-07-04T12:00:00-04:00,2023-07-04T16:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.51,31.38,0.0,-0.87
2023-07-04T12:00:00-04:00,2023-07-04T16:00:00+00:00,2023-07-04T13:00:00-04:00,2023-07-04T17:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,34.92,35.47,0.0,-0.55
2023-07-04T13:00:00-04:00,2023-07-04T17:00:00+00:00,2023-07-04T14:00:00-04:00,2023-07-04T18:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,33.43,33.77,0.0,-0.34
2023-07-04T14:00:00-04:00,2023-07-04T18:00:00+00:00,2023-07-04T15:00:00-04:00,2023-07-04T19:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,33.25,33.61,0.0,-0.36
2023-07-04T15:00:00-04:00,2023-07-04T19:00:00+00:00,2023-07-04T16:00:00-04:00,2023-07-04T20:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,37.08,37.41,0.0,-0.33
2023-07-04T16:00:00-04:00,2023-07-04T20:00:00+00:00,2023-07-04T17:00:00-04:00,2023-07-04T21:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,37.08,37.43,0.0,-0.35
2023-07-04T17:00:00-04:00,2023-07-04T21:00:00+00:00,2023-07-04T18:00:00-04:00,2023-07-04T22:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,41.46,42.04,0.0,-0.58
2023-07-04T18:00:00-04:00,2023-07-04T22:00:00+00:00,2023-07-04T19:00:00-04:00,2023-07-04T23:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,44.64,45.35,0.0,-0.71
2023-07-04T19:00:00-04:00,2023-07-04T23:00:00+00:00,2023-07-04T20:00:00-04:00,2023-07-05T00:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,44.57,45.26,0.0,-0.69
