interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,market,spp
2024-06-03T21:00:00-05:00,2024-06-04T02:00:00+00:00,2024-06-03T22:00:00-05:00,2024-06-04T03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.58
2024-06-03T22:00:00-05:00,2024-06-04T03:00:00+00:00,2024-06-03T23:00:00-05:00,2024-06-04T04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.76
2024-06-03T23:00:00-05:00,2024-06-04T04:00:00+00:00,2024-06-04T00:00:00-05:00,2024-06-04T05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,18.15
2024-06-04T00:00:00-05:00,2024-06-04T05:00:00+00:00,2024-06-04T01:00:00-05:00,2024-06-04T06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.04
2024-06-04T01:00:00-05:00,2024-06-04T06:00:00+00:00,2024-06-04T02:00:00-05:00,2024-06-04T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.76
2024-06-04T02:00:00-05:00,2024-06-04T07:00:00+00:00,2024-06-04T03:00:00-05:00,2024-06-04T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,11.98
2024-06-04T03:00:00-05:00,2024-06-04T08:00:00+00:00,2024-06-04T04:00:00-05:00,2024-06-04T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,12.4
2024-06-04T04:00:00-05:00,2024-06-04T09:00:00+00:00,2024-06-04T05:00:00-05:00,2024-06-04T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.35
2024-06-04T05:00:00-05:00,2024-06-04T10:00:00+00:00,2024-06-04T06:00:00-05:00,2024-06-04T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.34
2024-06-04T06:00:00-05:00,2024-06-04T11:00:00+00:00,2024-06-04T07:00:00-05:00,2024-06-04T12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,14.69
2024-06-04T07:00:00-05:00,2024-06-04T12:00:00+00:00,2024-06-04T08:00:00-05:00,2024-06-04T13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.42
2024-06-04T08:00:00-05:00,2024-06-04T13:00:00+00:00,2024-06-04T09:00:00-05:00,2024-06-04T14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,11.32
2024-06-04T09:00:00-05:00,2024-06-04T14:00:00+00:00,2024-06-04T10:00:00-05:00,2024-06-04T15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.99
2024-06-04T10:00:00-05:00,2024-06-04T15:00:00+00:00,2024-06-04T11:00:00-05:00,2024-06-04T16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.04
2024-06-04T11:00:00-05:00,2024-06-04T16:00:00+00:00,2024-06-04T12:00:00-05:00,2024-06-04T17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.69
2024-06-04T12:00:00-05:00,2024-06-04T17:00:00+00:00,2024-06-04T13:00:00-05:00,2024-06-04T18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,30.59
2024-06-04T13:00:00-05:00,2024-06-04T18:00:00+00:00,2024-06-04T14:00:00-05:00,2024-06-04T19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,35.74
2024-06-04T14:00:00-05:00,2024-06-04T19:00:00+00:00,2024-06-04T15:00:00-05:00,2024-06-04T20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,41.61
2024-06-04T15:00:00-05:00,2024-06-04T20:00:00+00:00,2024-06-04T16:00:00-05:00,2024-06-04T21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,51.05
