interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-06-06T09:00:00-04:00,2024-06-06T13:00:00+00:00,2024-06-06T10:00:00-04:00,2024-06-06T14:00:00+00:00,N.Y.C.,32.22
2024-06-06T10:00:00-04:00,2024-06-06T14:00:00+00:00,2024-06-06T11:00:00-04:00,2024-06-06T15:00:00+00:00,N.Y.C.,34.58
2024-06-06T11:00:00-04:00,2024-06-06T15:00:00+00:00,2024-06-06T12:00:00-04:00,2024-06-06T16:00:00+00:00,N.Y.C.,37.33
2024-06-06T12:00:00-04:00,2024-06-06T16:00:00+00:00,2024-06-06T13:00:00-04:00,2024-06-06T17:00:00+00:00,N.Y.C.,38.08
2024-06-06T13:00:00-04:00,2024-06-06T17:00:00+00:00,2024-06-06T14:00:00-04:00,2024-06-06T18:00:00+00:00,N.Y.C.,38.73
2024-06-06T14:00:00-04:00,2024-06-06T18:00:00+00:00,2024-06-06T15:00:00-04:00,2024-06-06T19:00:00+00:00,N.Y.C.,39.96
2024-06-06T15:00:00-04:00,2024-06-06T19:00:00+00:00,2024-06-06T16:00:00-04:00,2024-06-06T20:00:00+00:00,N.Y.C.,41.03
2024-06-06T16:00:00-04:00,2024-06-06T20:00:00+00:00,2024-06-06T17:00:00-04:00,2024-06-06T21:00:00+00:00,N.Y.C.,44.94
2024-06-06T17:00:00-04:00,2024-06-06T21:00:00+00:00,2024-06-06T18:00:00-04:00,2024-06-06T22:00:00+00:00,N.Y.C.,49.0
2024-06-06T18:00:00-04:00,2024-06-06T22:00:00+00:00,2024-06-06T19:00:00-04:00,2024-06-06T23:00:00+00:00,N.Y.C.,45.3
2024-06-06T19:00:00-04:00,2024-06-06T23:00:00+00:00,2024-06-06T20:00:00-04:00,2024-06-07T00:00:00+00:00,N.Y.C.,43.26
2024-06-06T20:00:00-04:00,2024-06-07T00:00:00+00:00,2024-06-06T21:00:00-04:00,2024-06-07T01:00:00+00:00,N.Y.C.,39.57
2024-06-06T21:00:00-04:00,2024-06-07T01:00:00+00:00,2024-06-06T22:00:00-04:00,2024-06-07T02:00:00+00:00,N.Y.C.,35.59
2024-06-06T22:00:00-04:00,2024-06-07T02:00:00+00:00,2024-06-06T23:00:00-04:00,2024-06-07T03:00:00+00:00,N.Y.C.,30.63
