interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-06-05T04:00:00-04:00,2023-06-05T08:00:00+00:00,2023-06-05T05:00:00-04:00,2023-06-05T09:00:00+00:00,.H.INTERNAL_HUB,HUB,16.32
2023-06-05T05:00:00-04:00,2023-06-05T09:00:00+00:00,2023-06-05T06:00:00-04:00,2023-06-05T10:00:00+00:00,.H.INTERNAL_HUB,HUB,18.24
2023-06-05T06:00:00-04:00,2023-06-05T10:00:00+00:00,2023-06-05T07:00:00-04:00,2023-06-05T11:00:00+00:00,.H.INTERNAL_HUB,HUB,23.78
2023-06-05T07:00:00-04:00,2023-06-05T11:00:00+00:00,2023-06-05T08:00:00-04:00,2023-06-05T12:00:00+00:00,.H.INTERNAL_HUB,HUB,27.8
2023-06-05T08:00:00-04:00,2023-06-05T12:00:00+00:00,2023-06-05T09:00:00-04:00,2023-06-05T13:00:00+00:00,.H.INTERNAL_HUB,HUB,28.8
2023-06-05T09:00:00-04:00,2023-06-05T13:00:00+00:00,2023-06-05T10:00:00-04:00,2023-06-05T14:00:00+00:00,.H.INTERNAL_HUB,HUB,26.43
2023-06-05T10:00:00-04:00,2023-06-05T14:00:00+00:00,2023-06-05T11:00:00-04:00,2023-06-05T15:00:00+00:00,.H.INTERNAL_HUB,HUB,26.02
2023-06-05T11:00:00-04:00,2023-06-05T15:00:00+00:00,2023-06-05T12:00:00-04:00,2023-06-05T16:00:00+00:00,.H.INTERNAL_HUB,HUB,26.03
2023-06-05T12:00:00-04:00,2023-06-05T16:00:00+00:00,2023-06-05T13:00:00-04:00,2023-06-05T17:00:00+00:00,.H.INTERNAL_HUB,HUB,24.07
2023-06-05T13:00:00-04:00,2023-06-05T17:00:00+00:00,2023-06-05T14:00:00-04:00,2023-06-05T18:00:00+00:00,.H.INTERNAL_HUB,HUB,26.06
