interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reserve_zone_id,reserve_zone_name,ten_min_spin_requirement,tmnsr_clearing_price,tmnsr_designated_mw,tmor_clearing_price,tmor_designated_mw,tmsr_clearing_price,tmsr_designated_mw,total_10_min_requirement,total_30_min_requirement
2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,7001,SWCT,0.0,0.0,642.3,0.0,304.283,0.0,13.5,0.0,1242.992
2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,176.3,0.0,152.917,0.0,720.533
2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,101.1,0.0,7.0,0.0,1435.0
2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,7000,ROS,472.333,0.0,2248.933,0.0,921.842,0.0,568.7,1886.667,2671.667
2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,7001,SWCT,0.0,0.0,642.3,0.0,313.783,0.0,26.75,0.0,1234.733
2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,216.2,0.0,224.242,0.0,709.492
2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,99.575,0.0,7.0,0.0,1435.0
2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,7000,ROS,472.167,0.0,1143.65,0.0,2234.542,0.0,1016.275,1886.417,2671.25
2022-06-01T10:00:00-04:00,2022-06-01T14:00:00+00:00,2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,7001,SWCT,0.0,0.0,642.3,0.0,317.733,0.0,43.667,0.0,1206.983
2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,193.275,0.0,169.133,0.0,720.792
2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,99.7,0.0,7.217,0.0,1435.0
2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,7000,ROS,430.25,0.0,1213.033,0.0,2129.225,0.0,777.883,1718.333,2503.333
2022-06-01T11:00:00-04:00,2022-06-01T15:00:00+00:00,2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,7001,SWCT,0.0,0.0,643.383,0.0,326.1,0.0,30.9,0.0,1198.492
2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,167.55,0.0,137.242,0.0,684.908
2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,99.792,0.0,8.2,0.0,1435.0
2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,7000,ROS,388.583,0.0,2324.658,0.0,961.442,0.0,576.4,1552.0,2337.0
2022-06-01T12:00:00-04:00,2022-06-01T16:00:00+00:00,2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,7001,SWCT,0.0,0.0,664.083,0.0,334.6,0.0,31.45,0.0,1196.0
2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,144.733,0.21,44.542,0.0,633.458
2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,95.2,0.21,6.033,0.0,1435.0
2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,7000,ROS,388.0,0.0,2178.9,0.0,918.525,0.21,365.742,1550.083,2335.083
2022-06-01T13:00:00-04:00,2022-06-01T17:00:00+00:00,2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,7001,SWCT,0.0,0.0,670.5,0.0,330.75,0.21,17.75,0.0,1189.3
2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,138.2,0.31,15.3,0.0,575.35
