interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2024-06-06T20:00:00-05:00,2024-06-07T01:00:00+00:00,2024-06-06T21:00:00-05:00,2024-06-07T02:00:00+00:00,HB_HOUSTON,119.32
2024-06-06T21:00:00-05:00,2024-06-07T02:00:00+00:00,2024-06-06T22:00:00-05:00,2024-06-07T03:00:00+00:00,HB_HOUSTON,37.44
2024-06-06T22:00:00-05:00,2024-06-07T03:00:00+00:00,2024-06-06T23:00:00-05:00,2024-06-07T04:00:00+00:00,HB_HOUSTON,25.19
2024-06-06T23:00:00-05:00,2024-06-07T04:00:00+00:00,2024-06-07T00:00:00-05:00,2024-06-07T05:00:00+00:00,HB_HOUSTON,20.15
2024-06-07T00:00:00-05:00,2024-06-07T05:00:00+00:00,2024-06-07T01:00:00-05:00,2024-06-07T06:00:00+00:00,HB_HOUSTON,15.19
2024-06-07T01:00:00-05:00,2024-06-07T06:00:00+00:00,2024-06-07T02:00:00-05:00,2024-06-07T07:00:00+00:00,HB_HOUSTON,13.99
2024-06-07T02:00:00-05:00,2024-06-07T07:00:00+00:00,2024-06-07T03:00:00-05:00,2024-06-07T08:00:00+00:00,HB_HOUSTON,12.77
2024-06-07T03:00:00-05:00,2024-06-07T08:00:00+00:00,2024-06-07T04:00:00-05:00,2024-06-07T09:00:00+00:00,HB_HOUSTON,12.41
2024-06-07T04:00:00-05:00,2024-06-07T09:00:00+00:00,2024-06-07T05:00:00-05:00,2024-06-07T10:00:00+00:00,HB_HOUSTON,12.49
2024-06-07T05:00:00-05:00,2024-06-07T10:00:00+00:00,2024-06-07T06:00:00-05:00,2024-06-07T11:00:00+00:00,HB_HOUSTON,13.88
2024-06-07T06:00:00-05:00,2024-06-07T11:00:00+00:00,2024-06-07T07:00:00-05:00,2024-06-07T12:00:00+00:00,HB_HOUSTON,16.4
2024-06-07T07:00:00-05:00,2024-06-07T12:00:00+00:00,2024-06-07T08:00:00-05:00,2024-06-07T13:00:00+00:00,HB_HOUSTON,14.34
