interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2024-01-07T03:00:00-06:00,2024-01-07T09:00:00+00:00,2024-01-07T04:00:00-06:00,2024-01-07T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.7691,24.1849,-2.8744,-0.5414
2024-01-07T04:00:00-06:00,2024-01-07T10:00:00+00:00,2024-01-07T05:00:00-06:00,2024-01-07T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,21.4851,25.2934,-3.7025,-0.1058
2024-01-07T04:00:00-06:00,2024-01-07T10:00:00+00:00,2024-01-07T05:00:00-06:00,2024-01-07T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.3638,25.2933,-3.2725,-0.657
2024-01-07T05:00:00-06:00,2024-01-07T11:00:00+00:00,2024-01-07T06:00:00-06:00,2024-01-07T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,27.0293,31.3035,-4.2874,0.0132
2024-01-07T05:00:00-06:00,2024-01-07T11:00:00+00:00,2024-01-07T06:00:00-06:00,2024-01-07T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,25.471,31.3035,-4.8184,-1.0141
2024-01-07T06:00:00-06:00,2024-01-07T12:00:00+00:00,2024-01-07T07:00:00-06:00,2024-01-07T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,31.6052,34.9074,-3.4591,0.1569
2024-01-07T06:00:00-06:00,2024-01-07T12:00:00+00:00,2024-01-07T07:00:00-06:00,2024-01-07T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,28.6545,34.9075,-4.8846,-1.3684
2024-01-07T07:00:00-06:00,2024-01-07T13:00:00+00:00,2024-01-07T08:00:00-06:00,2024-01-07T14:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,28.9236,34.0621,-5.282,0.1435
2024-01-07T07:00:00-06:00,2024-01-07T13:00:00+00:00,2024-01-07T08:00:00-06:00,2024-01-07T14:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,27.6159,34.0621,-4.9925,-1.4537
2024-01-07T08:00:00-06:00,2024-01-07T14:00:00+00:00,2024-01-07T09:00:00-06:00,2024-01-07T15:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,30.6408,33.0598,-2.4424,0.0234
2024-01-07T08:00:00-06:00,2024-01-07T14:00:00+00:00,2024-01-07T09:00:00-06:00,2024-01-07T15:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.4368,33.0598,-10.0179,-1.6051
2024-01-07T09:00:00-06:00,2024-01-07T15:00:00+00:00,2024-01-07T10:00:00-06:00,2024-01-07T16:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,30.2599,29.8172,0.1791,0.2636
2024-01-07T09:00:00-06:00,2024-01-07T15:00:00+00:00,2024-01-07T10:00:00-06:00,2024-01-07T16:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,23.0357,29.8172,-5.0891,-1.6924
2024-01-07T10:00:00-06:00,2024-01-07T16:00:00+00:00,2024-01-07T11:00:00-06:00,2024-01-07T17:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,34.5617,29.7119,4.2575,0.5923
2024-01-07T10:00:00-06:00,2024-01-07T16:00:00+00:00,2024-01-07T11:00:00-06:00,2024-01-07T17:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.1603,29.712,-6.7603,-1.7914
2024-01-07T11:00:00-06:00,2024-01-07T17:00:00+00:00,2024-01-07T12:00:00-06:00,2024-01-07T18:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,38.2182,30.5341,6.8823,0.8018
2024-01-07T11:00:00-06:00,2024-01-07T17:00:00+00:00,2024-01-07T12:00:00-06:00,2024-01-07T18:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.3547,30.534,-8.0624,-2.1169
2024-01-07T12:00:00-06:00,2024-01-07T18:00:00+00:00,2024-01-07T13:00:00-06:00,2024-01-07T19:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,35.6116,26.9265,8.0104,0.6747
