interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_up,spinning_reserves
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.5,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_CAISO_EXP,DAM,0.15,4.0,1.65,1.65
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.85,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.28,5.09,5.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.41,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_CAISO_EXP,DAM,0.15,4.85207,1.53987,1.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
