interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,spinning_reserves,regulation_up,regulation_down,regulation_mileage_up,regulation_mileage_down
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,5.91485,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.17,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.37192,1.55,20.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,6.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.74192,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.45373,1.55,25.59405,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.82373,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.46201,1.55,25.52492,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.83201,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.14,1.55,18.07825,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.51,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.0,1.55,9.84297,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,2.15703,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.37,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.51,1.55,6.5,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,5.5,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.88,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.55,1.55,6.5,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
