interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind
2023-06-18T00:00:00-05:00,2023-06-18T05:00:00+00:00,2023-06-19T00:00:00-05:00,2023-06-19T05:00:00+00:00,1048061.0
2023-06-19T00:00:00-05:00,2023-06-19T05:00:00+00:00,2023-06-20T00:00:00-05:00,2023-06-20T05:00:00+00:00,2232990.0
2023-06-20T00:00:00-05:00,2023-06-20T05:00:00+00:00,2023-06-21T00:00:00-05:00,2023-06-21T05:00:00+00:00,3627819.0
2023-06-21T00:00:00-05:00,2023-06-21T05:00:00+00:00,2023-06-22T00:00:00-05:00,2023-06-22T05:00:00+00:00,2510089.0
2023-06-22T00:00:00-05:00,2023-06-22T05:00:00+00:00,2023-06-23T00:00:00-05:00,2023-06-23T05:00:00+00:00,1137754.0
2023-06-23T00:00:00-05:00,2023-06-23T05:00:00+00:00,2023-06-24T00:00:00-05:00,2023-06-24T05:00:00+00:00,773638.0
2023-06-24T00:00:00-05:00,2023-06-24T05:00:00+00:00,2023-06-25T00:00:00-05:00,2023-06-25T05:00:00+00:00,2880005.0
2023-06-25T00:00:00-05:00,2023-06-25T05:00:00+00:00,2023-06-26T00:00:00-05:00,2023-06-26T05:00:00+00:00,4766300.0
2023-06-26T00:00:00-05:00,2023-06-26T05:00:00+00:00,2023-06-27T00:00:00-05:00,2023-06-27T05:00:00+00:00,3332910.0
2023-06-27T00:00:00-05:00,2023-06-27T05:00:00+00:00,2023-06-28T00:00:00-05:00,2023-06-28T05:00:00+00:00,1534296.0
2023-06-28T00:00:00-05:00,2023-06-28T05:00:00+00:00,2023-06-29T00:00:00-05:00,2023-06-29T05:00:00+00:00,2562494.0
2023-06-29T00:00:00-05:00,2023-06-29T05:00:00+00:00,2023-06-30T00:00:00-05:00,2023-06-30T05:00:00+00:00,1281579.0
2023-06-30T00:00:00-05:00,2023-06-30T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,536247.0
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-07-02T00:00:00-05:00,2023-07-02T05:00:00+00:00,540575.0
2023-07-02T00:00:00-05:00,2023-07-02T05:00:00+00:00,2023-07-03T00:00:00-05:00,2023-07-03T05:00:00+00:00,1017601.0
2023-07-03T00:00:00-05:00,2023-07-03T05:00:00+00:00,2023-07-04T00:00:00-05:00,2023-07-04T05:00:00+00:00,1285409.0
2023-07-04T00:00:00-05:00,2023-07-04T05:00:00+00:00,2023-07-05T00:00:00-05:00,2023-07-05T05:00:00+00:00,1711510.0
2023-07-05T00:00:00-05:00,2023-07-05T05:00:00+00:00,2023-07-06T00:00:00-05:00,2023-07-06T05:00:00+00:00,2065878.0
2023-07-06T00:00:00-05:00,2023-07-06T05:00:00+00:00,2023-07-07T00:00:00-05:00,2023-07-07T05:00:00+00:00,1159403.0
