interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2023-01-15T08:35:00-05:00,2023-01-15T13:35:00+00:00,2023-01-15T08:40:00-05:00,2023-01-15T13:40:00+00:00,76914
2023-01-15T08:40:00-05:00,2023-01-15T13:40:00+00:00,2023-01-15T08:45:00-05:00,2023-01-15T13:45:00+00:00,76892
2023-01-15T08:45:00-05:00,2023-01-15T13:45:00+00:00,2023-01-15T08:50:00-05:00,2023-01-15T13:50:00+00:00,77032
2023-01-15T08:50:00-05:00,2023-01-15T13:50:00+00:00,2023-01-15T08:55:00-05:00,2023-01-15T13:55:00+00:00,76823
2023-01-15T08:55:00-05:00,2023-01-15T13:55:00+00:00,2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,76912
2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,2023-01-15T09:05:00-05:00,2023-01-15T14:05:00+00:00,77057
2023-01-15T09:05:00-05:00,2023-01-15T14:05:00+00:00,2023-01-15T09:10:00-05:00,2023-01-15T14:10:00+00:00,77364
2023-01-15T09:10:00-05:00,2023-01-15T14:10:00+00:00,2023-01-15T09:15:00-05:00,2023-01-15T14:15:00+00:00,77560
2023-01-15T09:15:00-05:00,2023-01-15T14:15:00+00:00,2023-01-15T09:20:00-05:00,2023-01-15T14:20:00+00:00,77700
2023-01-15T09:20:00-05:00,2023-01-15T14:20:00+00:00,2023-01-15T09:25:00-05:00,2023-01-15T14:25:00+00:00,77664
2023-01-15T09:25:00-05:00,2023-01-15T14:25:00+00:00,2023-01-15T09:30:00-05:00,2023-01-15T14:30:00+00:00,77467
2023-01-15T09:30:00-05:00,2023-01-15T14:30:00+00:00,2023-01-15T09:35:00-05:00,2023-01-15T14:35:00+00:00,77471
2023-01-15T09:35:00-05:00,2023-01-15T14:35:00+00:00,2023-01-15T09:40:00-05:00,2023-01-15T14:40:00+00:00,77081
2023-01-15T09:40:00-05:00,2023-01-15T14:40:00+00:00,2023-01-15T09:45:00-05:00,2023-01-15T14:45:00+00:00,77100
2023-01-15T09:45:00-05:00,2023-01-15T14:45:00+00:00,2023-01-15T09:50:00-05:00,2023-01-15T14:50:00+00:00,77084
2023-01-15T09:50:00-05:00,2023-01-15T14:50:00+00:00,2023-01-15T09:55:00-05:00,2023-01-15T14:55:00+00:00,77013
2023-01-15T09:55:00-05:00,2023-01-15T14:55:00+00:00,2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,76768
2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,2023-01-15T10:05:00-05:00,2023-01-15T15:05:00+00:00,76603
2023-01-15T10:05:00-05:00,2023-01-15T15:05:00+00:00,2023-01-15T10:10:00-05:00,2023-01-15T15:10:00+00:00,76575
2023-01-15T10:10:00-05:00,2023-01-15T15:10:00+00:00,2023-01-15T10:15:00-05:00,2023-01-15T15:15:00+00:00,76073
2023-01-15T10:15:00-05:00,2023-01-15T15:15:00+00:00,2023-01-15T10:20:00-05:00,2023-01-15T15:20:00+00:00,76071
2023-01-15T10:20:00-05:00,2023-01-15T15:20:00+00:00,2023-01-15T10:25:00-05:00,2023-01-15T15:25:00+00:00,75871
2023-01-15T10:25:00-05:00,2023-01-15T15:25:00+00:00,2023-01-15T10:30:00-05:00,2023-01-15T15:30:00+00:00,76020
2023-01-15T10:30:00-05:00,2023-01-15T15:30:00+00:00,2023-01-15T10:35:00-05:00,2023-01-15T15:35:00+00:00,75867
2023-01-15T10:35:00-05:00,2023-01-15T15:35:00+00:00,2023-01-15T10:40:00-05:00,2023-01-15T15:40:00+00:00,75709
