title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
Reply Comments of the Long Island Power Authority under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': '2025-12-05 - LIPA Reply Comments on Large Load ANOPR FINAL.pdf', 'file_desc': 'No description given', 'file_size': 197974, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=52D5C79B-FB42-C00D-9FE8-9AEFE5700000'}]","['AUTHOR: Long Island Power Authority', 'AGENT: LONG ISLAND POWER AUTHORITY', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of the Southern Companies re Advanced Notice of Proposed Rulemaking on Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'Southern_Large Load ANOPR_Reply Comments (12-5).pdf', 'file_desc': 'Reply Comments of The Southern Companies ', 'file_size': 156345, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=9A215AD5-DC06-CC6C-B7C6-9AEFD5500000'}]","['AGENT: Southern Company Services, Inc.', 'AUTHOR: Georgia Power Company', 'AUTHOR: Southern Company Services, Inc.', 'AGENT: Southern Company Services, Inc.', 'AUTHOR: Alabama Power Company', 'AGENT: Southern Company Services, Inc.', 'AUTHOR: Mississippi Power Company', 'AGENT: Southern Company Services, Inc.', 'RECIPIENT: Office of the Secretary, FERC']"
"Comments of U.S. House of Representatives Committee on Energy and Commerce Ranking Member Frank Pallone, Jr. et al. re the Advanced Notice of Proposed Rulemaking under RM26-4. ",12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'FERC.2025.12.5 Letter re Large Loads to Interstate Transmission System.ENG.pdf', 'file_desc': '', 'file_size': 233598, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=54ED54A8-9E6B-C8DD-A35E-9AEFDDA00000'}]","['AUTHOR: COMMITTEE ON ENERGY AND COMMERCE', 'AUTHOR: COMMITTEE ON ENERGY AND COMMERCE', 'RECIPIENT: CHAIR AND IMMEDIATE STAFF (FERC)']"
Reply Comments of the Entergy Operating Companies re Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'RM26-4 - EOC Reply Comments 2025-12-05.pdf', 'file_desc': 'Reply Comments of the Entergy Operating Companies', 'file_size': 40491, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=AABE080B-D8E5-C110-9F17-9AEFCBE00000'}]","['AUTHOR: Entergy Services, LLC', 'AGENT: Entergy Services, LLC', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of Critical Loop, Inc. concerning the interconnection of large loads to the interstate transmission system under RM26-4. ",12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'FINAL CL REPLY TO FERC RM26-4-000.pdf', 'file_desc': 'Reply Comments of Critical Loop, Inc', 'file_size': 135589, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=E2447077-4B93-CC8D-9FAF-9AEEB7600000'}]","['AUTHOR: Critical Loop', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of PJM Interconnection, L.L.C. to initial comments submitted in response to the Advance Notice of Proposed Rulemaking issued by FERC under RM26-4.",12/11/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'PJM Reply Comments in RM26-4.pdf', 'file_desc': 'REPLY COMMENTS OF PJM INTERCONNECTION, L.L.C.', 'file_size': 192640, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=CC2B7672-6725-C1CF-8762-9B0F0DB00000'}]","['AUTHOR: PJM Interconnection, L.L.C.', 'AGENT: Wright & Talisman, PC', 'AUTHOR: PJM Interconnection, L.L.C.', 'AGENT: PJM Interconnection, L.L.C.', 'RECIPIENT: Office of the Secretary, FERC']"
Comments of Prime Mover Institute  in support of FERC's efforts to address the Interconnection of Large Loads to the Interstate Transmission System under RM26-4. ,12/10/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Prime Mover Comment - FERC Large Load Docket RM26-4-000 - FINAL.pdf', 'file_desc': 'Comments of Prime Mover Institute on FERC Docket RM26-4-000', 'file_size': 144081, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B613E0EC-4834-C7EE-9393-9B09B5F00000'}]","['AUTHOR: Prime Mover Institute', 'RECIPIENT: Office of the Secretary, FERC', 'AGENT: Prime Mover Institute']"
Reply Comments of the Thermal Battery Alliance re the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4.,12/10/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'Thermal Battery Alliance_RM26-4-000_Reply_Comments.pdf', 'file_desc': 'Reply Comments of the Thermal Battery Alliance', 'file_size': 163023, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=536FAD50-B44A-CA25-9C9E-9B085F300000'}]","['AUTHOR: The Thermal Battery Alliance', 'AGENT: Advanced Energy Management Alliance', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of FirstEnergy Service Company re Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'FE Reply Comments ANOPR (12.5.2025) Final.pdf', 'file_desc': 'No description given', 'file_size': 139401, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=7805C925-569D-C879-9CFA-9AF076300000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: FirstEnergy Service Company']"
Reply Comments of Michigan Attorney General  on behalf of the People of the State of Michigan in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'RM26-4-000 Michigan AG Reply Comments.pdf', 'file_desc': 'Michigan Attorney General Reply Comments', 'file_size': 123649, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=8DD1A839-5FB5-C59B-9F38-9AF073B00000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: Michigan Attorney General', 'AGENT: Michigan Attorney General']"
