interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,8298.6
2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,32772.8
2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,23116.3
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,29131.8
2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,16361.6
2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,26200.7
2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,26116.8
2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,32036.2
2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,31942.4
2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,26411.2
2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,31453.5
2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,31386.6
2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,31008.9
2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,21275.4
2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,32439.3
2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,16363.9
2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,21267.3
2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,21576.0
2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,31920.8
2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,26063.8
2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,26598.5
2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,13667.2
2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,18418.0
2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,30655.0
2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,28186.0
2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,29087.8
2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,27793.0
2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,26603.9999999999
2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,17583.6
2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,18673.4
2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,23545.4
2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,31466.9
2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,31768.7
2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,20687.2
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,26670.0
2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,22457.9
2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,26672.1
2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,32917.8
2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,24996.5
2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,29809.8
2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,26368.3
2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,32707.1
2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,26260.0
2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,33922.0
2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,32721.5
2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,33196.9
2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,2023-06-14T00:00:00-05:00,2023-06-14T05:00:00+00:00,30688.2
