timestamp,total_load_mw,hour_of_day,day_of_week,month
2024-12-11 00:00:00,50881.475369,0,3,12
2024-12-11 01:00:00,49808.28589800001,1,3,12
2024-12-11 02:00:00,49366.906099,2,3,12
2024-12-11 03:00:00,49476.03147300001,3,3,12
2024-12-11 04:00:00,50070.07047499999,4,3,12
2024-12-11 05:00:00,51289.549288999995,5,3,12
2024-12-11 06:00:00,54271.330056000006,6,3,12
2024-12-11 07:00:00,58273.80923,7,3,12
2024-12-11 08:00:00,60235.019311000004,8,3,12
2024-12-11 09:00:00,58209.808338999996,9,3,12
2024-12-11 10:00:00,55530.496057000004,10,3,12
2024-12-11 11:00:00,52930.253696,11,3,12
2024-12-11 12:00:00,50645.783095,12,3,12
2024-12-11 13:00:00,48960.97652,13,3,12
2024-12-11 14:00:00,47950.311624,14,3,12
2024-12-11 15:00:00,47265.426874,15,3,12
2024-12-11 16:00:00,46967.001858,16,3,12
2024-12-11 17:00:00,47503.708557000005,17,3,12
2024-12-11 18:00:00,49635.837909,18,3,12
2024-12-11 19:00:00,52157.97937200001,19,3,12
2024-12-11 20:00:00,53084.592693000006,20,3,12
2024-12-11 21:00:00,53631.522299000004,21,3,12
2024-12-11 22:00:00,53265.263434,22,3,12
2024-12-11 23:00:00,51647.519423,23,3,12
2024-12-12 00:00:00,50116.75760099999,0,4,12
2024-12-12 01:00:00,49030.216139,1,4,12
2024-12-12 02:00:00,48570.984175,2,4,12
2024-12-12 03:00:00,48674.52249599999,3,4,12
2024-12-12 04:00:00,49315.545095,4,4,12
2024-12-12 05:00:00,50764.910443,5,4,12
2024-12-12 06:00:00,53706.690439,6,4,12
2024-12-12 07:00:00,57789.67648,7,4,12
2024-12-12 08:00:00,59155.81232900001,8,4,12
2024-12-12 09:00:00,57245.024754,9,4,12
2024-12-12 10:00:00,54629.302621,10,4,12
2024-12-12 11:00:00,52314.048393,11,4,12
2024-12-12 12:00:00,50476.330514999994,12,4,12
2024-12-12 13:00:00,48985.259322,13,4,12
2024-12-12 14:00:00,48189.746871999996,14,4,12
2024-12-12 15:00:00,47855.423033,15,4,12
2024-12-12 16:00:00,48028.412573,16,4,12
2024-12-12 17:00:00,48675.520107000004,17,4,12
2024-12-12 18:00:00,50656.135387999995,18,4,12
2024-12-12 19:00:00,51662.277672,19,4,12
2024-12-12 20:00:00,51709.25223,20,4,12
2024-12-12 21:00:00,51525.324303,21,4,12
2024-12-12 22:00:00,50372.41233300001,22,4,12
2024-12-12 23:00:00,48245.575189999996,23,4,12
2024-12-13 00:00:00,45972.713642999995,0,5,12
2024-12-13 01:00:00,44253.333298,1,5,12
2024-12-13 02:00:00,43172.777010000005,2,5,12
2024-12-13 03:00:00,42586.495944999995,3,5,12
2024-12-13 04:00:00,42558.034324,4,5,12
2024-12-13 05:00:00,43238.461902999996,5,5,12
2024-12-13 06:00:00,45148.605316,6,5,12
2024-12-13 07:00:00,48157.96056400001,7,5,12
2024-12-13 08:00:00,49338.572075000004,8,5,12
2024-12-13 09:00:00,49537.813146,9,5,12
2024-12-13 10:00:00,49644.822197,10,5,12
2024-12-13 11:00:00,49780.64869599999,11,5,12
2024-12-13 12:00:00,49536.377394999996,12,5,12
2024-12-13 13:00:00,49284.145756,13,5,12
2024-12-13 14:00:00,49203.07543599999,14,5,12
2024-12-13 15:00:00,48989.546990999996,15,5,12
2024-12-13 16:00:00,48935.722356,16,5,12
2024-12-13 17:00:00,49249.820898,17,5,12
2024-12-13 18:00:00,50326.725313999996,18,5,12
2024-12-13 19:00:00,50414.06037200001,19,5,12
2024-12-13 20:00:00,49919.442912,20,5,12
2024-12-13 21:00:00,49087.54208,21,5,12
2024-12-13 22:00:00,48245.066525,22,5,12
2024-12-13 23:00:00,46719.30479,23,5,12
2024-12-14 00:00:00,44952.558522,0,6,12
2024-12-14 01:00:00,43217.753858000004,1,6,12
2024-12-14 02:00:00,41915.148324,2,6,12
2024-12-14 03:00:00,41075.023606999996,3,6,12
2024-12-14 04:00:00,40618.102679,4,6,12
2024-12-14 05:00:00,40684.519735999995,5,6,12
2024-12-14 06:00:00,40982.189245999994,6,6,12
2024-12-14 07:00:00,42087.35179,7,6,12
2024-12-14 08:00:00,42910.677755000004,8,6,12
2024-12-14 09:00:00,44445.441490000005,9,6,12
2024-12-14 10:00:00,45663.075225,10,6,12
2024-12-14 11:00:00,46556.418778,11,6,12
2024-12-14 12:00:00,47012.236467,12,6,12
2024-12-14 13:00:00,47372.37149099999,13,6,12
2024-12-14 14:00:00,47442.469427,14,6,12
2024-12-14 15:00:00,47580.010666,15,6,12
2024-12-14 16:00:00,47644.790549000005,16,6,12
2024-12-14 17:00:00,47846.241053,17,6,12
2024-12-14 18:00:00,47588.705549,18,6,12
2024-12-14 19:00:00,48523.779337,19,6,12
2024-12-14 20:00:00,48233.940222000005,20,6,12
2024-12-14 21:00:00,47953.467206,21,6,12
2024-12-14 22:00:00,47290.485163,22,6,12
2024-12-14 23:00:00,46178.14096700001,23,6,12
2024-12-15 00:00:00,44626.485902,0,0,12
2024-12-15 01:00:00,43167.10772,1,0,12
2024-12-15 02:00:00,42068.08928099999,2,0,12
2024-12-15 03:00:00,41306.504237,3,0,12
2024-12-15 04:00:00,40960.613573,4,0,12
2024-12-15 05:00:00,40744.227833,5,0,12
2024-12-15 06:00:00,41007.537664999996,6,0,12
2024-12-15 07:00:00,41836.794023999995,7,0,12
2024-12-15 08:00:00,42748.374635,8,0,12
2024-12-15 09:00:00,44060.851269,9,0,12
2024-12-15 10:00:00,45754.576336000006,10,0,12
2024-12-15 11:00:00,47091.654583,11,0,12
2024-12-15 12:00:00,48167.89715900001,12,0,12
2024-12-15 13:00:00,49206.648367999995,13,0,12
2024-12-15 14:00:00,49830.240957,14,0,12
2024-12-15 15:00:00,50085.790423,15,0,12
2024-12-15 16:00:00,50194.949711,16,0,12
2024-12-15 17:00:00,49939.119581,17,0,12
2024-12-15 18:00:00,50773.408699,18,0,12
2024-12-15 19:00:00,51732.913175,19,0,12
2024-12-15 20:00:00,51401.82090499999,20,0,12
2024-12-15 21:00:00,50734.885318,21,0,12
2024-12-15 22:00:00,49597.22584200001,22,0,12
2024-12-15 23:00:00,47669.451528000005,23,0,12
2024-12-16 00:00:00,44953.135487,0,1,12
2024-12-16 01:00:00,42721.077099999995,1,1,12
2024-12-16 02:00:00,41373.319432,2,1,12
2024-12-16 03:00:00,40409.63794400001,3,1,12
2024-12-16 04:00:00,40178.191039,4,1,12
2024-12-16 05:00:00,40483.82556,5,1,12
2024-12-16 06:00:00,42216.858502999996,6,1,12
2024-12-16 07:00:00,45144.813664,7,1,12
2024-12-16 08:00:00,46304.972933,8,1,12
2024-12-16 09:00:00,47294.863902000005,9,1,12
2024-12-16 10:00:00,48595.917135,10,1,12
2024-12-16 11:00:00,49820.40725799999,11,1,12
2024-12-16 12:00:00,50643.73584,12,1,12
2024-12-16 13:00:00,51430.304436,13,1,12
2024-12-16 14:00:00,52185.083655999995,14,1,12
2024-12-16 15:00:00,52668.30053099999,15,1,12
2024-12-16 16:00:00,53053.170013,16,1,12
2024-12-16 17:00:00,52998.704770000004,17,1,12
2024-12-16 18:00:00,53132.389670000004,18,1,12
2024-12-16 19:00:00,53226.460501999994,19,1,12
2024-12-16 20:00:00,52148.792092,20,1,12
2024-12-16 21:00:00,50984.612521999996,21,1,12
2024-12-16 22:00:00,49113.105425999995,22,1,12
2024-12-16 23:00:00,46630.886764,23,1,12
2024-12-17 00:00:00,44174.384364,0,2,12
2024-12-17 01:00:00,42044.25876,1,2,12
2024-12-17 02:00:00,40831.167110999995,2,2,12
2024-12-17 03:00:00,39998.395726,3,2,12
2024-12-17 04:00:00,39460.853279,4,2,12
2024-12-17 05:00:00,39849.771937,5,2,12
2024-12-17 06:00:00,41818.31015800001,6,2,12
2024-12-17 07:00:00,45024.801681000004,7,2,12
2024-12-17 08:00:00,46713.578818,8,2,12
2024-12-17 09:00:00,47014.376752,9,2,12
2024-12-17 10:00:00,47870.839941,10,2,12
2024-12-17 11:00:00,48462.420275000004,11,2,12
2024-12-17 12:00:00,48966.872336,12,2,12
2024-12-17 13:00:00,49773.14619,13,2,12
2024-12-17 14:00:00,50874.616390999996,14,2,12
2024-12-17 15:00:00,51321.15003499999,15,2,12
2024-12-17 16:00:00,51660.601942,16,2,12
2024-12-17 17:00:00,51839.075799,17,2,12
2024-12-17 18:00:00,52004.137225,18,2,12
2024-12-17 19:00:00,52441.044826000005,19,2,12
2024-12-17 20:00:00,51523.702449,20,2,12
2024-12-17 21:00:00,51221.104055,21,2,12
2024-12-17 22:00:00,49878.435474000005,22,2,12
2024-12-17 23:00:00,47488.04745900001,23,2,12
2024-12-18 00:00:00,44817.311534,0,3,12
2024-12-18 01:00:00,42734.137041,1,3,12
2024-12-18 02:00:00,41540.38032100001,2,3,12
2024-12-18 03:00:00,40645.016017999995,3,3,12
2024-12-18 04:00:00,40014.971707000004,4,3,12
2024-12-18 05:00:00,40280.661126,5,3,12
2024-12-18 06:00:00,42162.027193999995,6,3,12
2024-12-18 07:00:00,45357.096491000004,7,3,12
2024-12-18 08:00:00,46905.617504,8,3,12
2024-12-18 09:00:00,47526.051682,9,3,12
2024-12-18 10:00:00,48131.806584000005,10,3,12
2024-12-18 11:00:00,48494.457970999996,11,3,12
2024-12-18 12:00:00,49009.461038,12,3,12
2024-12-18 13:00:00,48794.612129,13,3,12
2024-12-18 14:00:00,48647.502094999996,14,3,12
2024-12-18 15:00:00,48425.324867,15,3,12
2024-12-18 16:00:00,48087.083197,16,3,12
2024-12-18 17:00:00,48427.941056,17,3,12
2024-12-18 18:00:00,49778.311208,18,3,12
2024-12-18 19:00:00,50799.602285,19,3,12
2024-12-18 20:00:00,50440.021509000006,20,3,12
