year,month,hour,avg_lmp,data_points
2021,9,6,29.718249999999994,120
2021,9,7,30.059416666666667,120
2021,9,8,29.096750000000004,120
2021,9,9,30.998916666666666,120
2021,9,10,30.075916666666664,120
2021,9,11,34.29883333333333,120
2021,9,12,40.463833333333326,120
2021,9,13,46.79566666666666,120
2021,9,14,48.38325000000001,120
2021,9,15,57.31641666666668,120
2021,9,16,64.72783333333331,120
2021,9,17,53.80008333333335,120
2021,9,18,55.93716666666668,120
2021,9,19,60.14183333333334,120
2021,9,20,48.602083333333326,120
2021,9,21,42.868749999999984,120
2021,9,22,39.267,120
2021,9,23,32.498000000000005,120
2021,10,0,27.911209677419357,124
2021,10,1,24.414999999999996,124
2021,10,2,23.59766129032258,124
2021,10,3,24.314758064516123,124
2021,10,4,25.651612903225796,124
2021,10,5,27.214838709677423,124
2021,10,6,34.11637096774192,124
2021,10,7,36.493870967741934,124
2021,10,8,32.54379032258065,124
2021,10,9,28.906048387096778,124
2021,10,10,28.953548387096784,124
2021,10,11,29.31225806451614,124
2021,10,12,33.17637096774193,124
2021,10,13,34.93895161290323,124
2021,10,14,38.914354838709684,124
2021,10,15,45.4208064516129,124
2021,10,16,50.893225806451625,124
2021,10,17,47.75096774193548,124
2021,10,18,84.07233870967738,124
2021,10,19,75.59766129032259,124
2021,10,20,41.60064516129032,124
2021,10,21,35.61540322580646,124
2021,10,22,32.02491935483871,124
2021,10,23,28.642741935483873,124
2021,11,0,25.26083333333333,120
2021,11,1,22.397661290322585,124
2021,11,2,22.150499999999987,120
2021,11,3,23.946083333333323,120
2021,11,4,27.935750000000002,120
2021,11,5,36.14466666666669,120
2021,11,6,38.61666666666667,120
2021,11,7,39.54316666666666,120
2021,11,8,32.79141666666666,120
2021,11,9,31.398333333333333,120
2021,11,10,28.897083333333335,120
2021,11,11,32.38333333333331,120
2021,11,12,36.16225,120
2021,11,13,39.419166666666676,120
2021,11,14,39.708333333333336,120
2021,11,15,29.42633333333333,120
2021,11,16,49.68999999999998,120
2021,11,17,117.15366666666668,120
2021,11,18,50.69449999999999,120
2021,11,19,39.04049999999998,120
2021,11,20,33.90041666666666,120
2021,11,21,31.656999999999993,120
2021,11,22,35.29533333333333,120
2021,11,23,27.344999999999995,120
2021,12,0,16.576854838709682,124
2021,12,1,12.322258064516125,124
2021,12,2,11.002177419354837,124
2021,12,3,12.137500000000003,124
2021,12,4,14.488870967741937,124
2021,12,5,18.006290322580647,124
2021,12,6,22.26435483870968,124
2021,12,7,23.858548387096764,124
2021,12,8,20.246048387096774,124
2021,12,9,19.44088709677419,124
2021,12,10,20.952741935483882,124
2021,12,11,20.3966935483871,124
2021,12,12,18.138870967741937,124
2021,12,13,17.414354838709684,124
2021,12,14,16.221693548387098,124
2021,12,15,17.248225806451618,124
2021,12,16,26.77185483870968,124
2021,12,17,63.930967741935476,124
2021,12,18,30.360967741935475,124
2021,12,19,25.46540322580646,124
2021,12,20,22.42274193548387,124
2021,12,21,21.693548387096776,124
2021,12,22,22.061048387096776,124
2021,12,23,19.236370967741934,124
