date,hour,day_of_week,month,avg_load_mw,data_points
2020-01-19,15,0,1,5543.525000000001,12
2020-01-19,16,0,1,5642.049999999999,12
2020-01-19,17,0,1,5852.491666666666,12
2020-01-19,18,0,1,5899.208333333333,12
2020-01-19,19,0,1,5871.399999999999,12
2020-01-19,20,0,1,5797.275000000001,12
2020-01-19,21,0,1,5691.216666666667,12
2020-01-19,22,0,1,5511.658333333333,12
2020-01-19,23,0,1,5282.241666666668,12
2020-01-20,0,1,1,5087.466666666667,12
2020-01-20,1,1,1,4936.991666666667,12
2020-01-20,2,1,1,4842.983333333334,12
2020-01-20,3,1,1,4811.658333333333,12
2020-01-20,4,1,1,4843.533333333334,12
2020-01-20,5,1,1,5013.116666666666,12
2020-01-20,6,1,1,5349.241666666668,12
2020-01-20,7,1,1,5732.349999999999,12
2020-01-20,8,1,1,6047.483333333334,12
2020-01-20,9,1,1,6250.116666666666,12
2020-01-20,10,1,1,6362.908333333333,12
2020-01-20,11,1,1,6418.466666666667,12
2020-01-20,12,1,1,6423.466666666666,12
2020-01-20,13,1,1,6412.533333333333,12
2020-01-20,14,1,1,6388.708333333333,12
2020-01-20,15,1,1,6405.933333333333,12
2020-01-20,16,1,1,6515.583333333333,12
2020-01-20,17,1,1,6746.733333333334,12
2020-01-20,18,1,1,6736.533333333333,12
2020-01-20,19,1,1,6634.716666666666,12
2020-01-20,20,1,1,6462.916666666667,12
2020-01-20,21,1,1,6266.616666666666,12
2020-01-20,22,1,1,5946.308333333333,12
2020-01-20,23,1,1,5586.7861111111115,12
2020-01-21,0,2,1,5294.119444444445,12
2020-01-21,1,2,1,5109.516666666667,12
2020-01-21,2,2,1,4997.783333333333,12
2020-01-21,3,2,1,4945.258333333334,12
2020-01-21,4,2,1,4979.566666666667,12
2020-01-21,5,2,1,5198.641666666666,12
2020-01-21,6,2,1,5696.308333333333,12
2020-01-21,7,2,1,6246.650000000001,12
2020-01-21,8,2,1,6562.125,12
2020-01-21,9,2,1,6719.95,12
2020-01-21,10,2,1,6740.8583333333345,12
2020-01-21,11,2,1,6740.108333333333,12
2020-01-21,12,2,1,6721.833333333332,12
2020-01-21,13,2,1,6685.183333333334,12
2020-01-21,14,2,1,6665.691666666667,12
2020-01-21,15,2,1,6719.608333333333,12
2020-01-21,16,2,1,6817.383333333332,12
2020-01-21,17,2,1,6980.900000000001,12
2020-01-21,18,2,1,6911.166666666667,12
2020-01-21,19,2,1,6777.400000000001,12
2020-01-21,20,2,1,6597.941666666667,12
2020-01-21,21,2,1,6336.650000000001,12
2020-01-21,22,2,1,5985.083333333333,12
2020-01-21,23,2,1,5574.400000000001,12
2020-01-22,0,3,1,5243.325,12
2020-01-22,1,3,1,5033.549999999999,12
2020-01-22,2,3,1,4908.308333333333,12
2020-01-22,3,3,1,4852.308333333333,12
2020-01-22,4,3,1,4872.575,12
2020-01-22,5,3,1,5111.675,12
2020-01-22,6,3,1,5626.644444444445,12
2020-01-22,7,3,1,6143.408333333333,12
2020-01-22,8,3,1,6458.783333333333,12
2020-01-22,9,3,1,6575.266666666666,12
2020-01-22,10,3,1,6592.841666666667,12
2020-01-22,11,3,1,6573.370833333333,12
2020-01-22,12,3,1,6539.099999999999,12
2020-01-22,13,3,1,6491.799999999999,12
2020-01-22,14,3,1,6457.575,12
2020-01-22,15,3,1,6472.299999999999,12
2020-01-22,16,3,1,6555.75,12
2020-01-22,17,3,1,6727.999999999999,12
2020-01-22,18,3,1,6669.016666666666,12
2020-01-22,19,3,1,6503.45,12
2020-01-22,20,3,1,6319.791666666667,12
2020-01-22,21,3,1,6064.2,12
2020-01-22,22,3,1,5736.974999999999,12
2020-01-22,23,3,1,5357.233333333333,12
2020-01-23,0,4,1,5014.083333333333,12
2020-01-23,1,4,1,4803.883333333332,12
2020-01-23,2,4,1,4686.308333333333,12
2020-01-23,3,4,1,4628.008333333333,12
2020-01-23,4,4,1,4663.266666666666,12
2020-01-23,5,4,1,4911.700000000001,12
2020-01-23,6,4,1,5417.805555555556,12
2020-01-23,7,4,1,5948.208333333333,12
2020-01-23,8,4,1,6232.075000000001,12
2020-01-23,9,4,1,6369.200000000001,12
2020-01-23,10,4,1,6376.758333333334,12
2020-01-23,11,4,1,6384.325000000001,12
2020-01-23,12,4,1,6363.816666666667,12
2020-01-23,13,4,1,6342.708333333333,12
2020-01-23,14,4,1,6323.683333333332,12
2020-01-23,15,4,1,6339.999999999999,12
2020-01-23,16,4,1,6430.0,12
2020-01-23,17,4,1,6566.833333333333,12
2020-01-23,18,4,1,6469.250000000001,12
2020-01-23,19,4,1,6313.275000000001,12
2020-01-23,20,4,1,6122.05,12
2020-01-23,21,4,1,5891.616666666668,12
2020-01-23,22,4,1,5551.104166666667,12
2020-01-23,23,4,1,5192.172222222222,12
2020-01-24,0,5,1,4879.091666666666,12
2020-01-24,1,5,1,4660.75,12
2020-01-24,2,5,1,4531.591666666666,12
2020-01-24,3,5,1,4489.566666666667,12
2020-01-24,4,5,1,4517.616666666666,12
2020-01-24,5,5,1,4730.425,12
2020-01-24,6,5,1,5219.908333333334,12
2020-01-24,7,5,1,5745.966666666666,12
2020-01-24,8,5,1,6038.358333333334,12
2020-01-24,9,5,1,6179.258333333332,12
2020-01-24,10,5,1,6197.45,12
2020-01-24,11,5,1,6194.700000000001,12
2020-01-24,12,5,1,6167.083333333333,12
2020-01-24,13,5,1,6127.125,12
2020-01-24,14,5,1,6123.083333333333,12
2020-01-24,15,5,1,6146.3,12
2020-01-24,16,5,1,6226.091666666666,12
2020-01-24,17,5,1,6365.016666666666,12
2020-01-24,18,5,1,6268.358333333334,12
2020-01-24,19,5,1,6097.424999999999,12
2020-01-24,20,5,1,5902.216666666667,12
2020-01-24,21,5,1,5706.991666666666,12
2020-01-24,22,5,1,5463.408333333334,12
2020-01-24,23,5,1,5161.024999999999,12
2020-01-25,0,6,1,4885.499999999999,12
2020-01-25,1,6,1,4676.891666666667,12
2020-01-25,2,6,1,4545.516666666666,12
2020-01-25,3,6,1,4464.7,12
2020-01-25,4,6,1,4438.516666666666,12
2020-01-25,5,6,1,4500.516666666667,12
2020-01-25,6,6,1,4670.733333333333,12
2020-01-25,7,6,1,4890.054166666666,12
2020-01-25,8,6,1,5161.266666666666,12
2020-01-25,9,6,1,5431.45,12
2020-01-25,10,6,1,5642.633333333334,12
2020-01-25,11,6,1,5771.408333333333,12
2020-01-25,12,6,1,5840.241666666666,12
2020-01-25,13,6,1,5814.358333333334,12
2020-01-25,14,6,1,5777.858333333334,12
2020-01-25,15,6,1,5746.313888888889,12
2020-01-25,16,6,1,5699.049999999999,12
2020-01-25,17,6,1,5765.408333333333,12
2020-01-25,18,6,1,5760.966666666667,12
2020-01-25,19,6,1,5685.758333333332,12
2020-01-25,20,6,1,5569.441666666666,12
2020-01-25,21,6,1,5420.233333333334,12
2020-01-25,22,6,1,5246.333333333333,12
2020-01-25,23,6,1,5028.491666666667,12
2020-01-26,0,0,1,4793.041666666667,12
2020-01-26,1,0,1,4590.708333333334,12
2020-01-26,2,0,1,4446.008333333333,12
2020-01-26,3,0,1,4372.275,12
2020-01-26,4,0,1,4345.875,12
2020-01-26,5,0,1,4395.025000000001,12
2020-01-26,6,0,1,4515.941666666667,12
2020-01-26,7,0,1,4661.825,12
2020-01-26,8,0,1,4858.816666666667,12
2020-01-26,9,0,1,5068.858333333333,12
2020-01-26,10,0,1,5197.008333333333,12
2020-01-26,11,0,1,5298.491666666667,12
2020-01-26,12,0,1,5317.041666666667,12
2020-01-26,13,0,1,5342.041666666667,12
2020-01-26,14,0,1,5340.65,12
