timestamp,generation_mw,hour,minute,day
2024-12-03 13:45:00,1272.134061,13,45,3
2024-12-03 14:00:00,1272.47791,14,0,3
2024-12-03 14:15:00,1273.524755,14,15,3
2024-12-03 14:30:00,1273.566378,14,30,3
2024-12-03 14:45:00,1273.953702,14,45,3
2024-12-03 15:00:00,1273.698324,15,0,3
2024-12-03 15:15:00,1273.481672,15,15,3
2024-12-03 15:30:00,1273.742876,15,30,3
2024-12-03 15:45:00,1273.480946,15,45,3
2024-12-03 16:00:00,1273.272788,16,0,3
2024-12-03 16:15:00,1273.781658,16,15,3
2024-12-03 16:30:00,1273.537,16,30,3
2024-12-03 16:45:00,1273.985503,16,45,3
2024-12-03 17:00:00,1273.927003,17,0,3
2024-12-03 17:15:00,1273.789209,17,15,3
2024-12-03 17:30:00,1273.86094,17,30,3
2024-12-03 17:45:00,1273.76874,17,45,3
2024-12-03 18:00:00,1273.838269,18,0,3
2024-12-03 18:15:00,1273.719107,18,15,3
2024-12-03 18:30:00,1273.613235,18,30,3
2024-12-03 18:45:00,1273.551561,18,45,3
2024-12-03 19:00:00,1273.590685,19,0,3
2024-12-03 19:15:00,1273.654272,19,15,3
2024-12-03 19:30:00,1273.706654,19,30,3
2024-12-03 19:45:00,1273.722068,19,45,3
2024-12-03 20:00:00,1273.580163,20,0,3
2024-12-03 20:15:00,1273.452209,20,15,3
2024-12-03 20:30:00,1273.529398,20,30,3
2024-12-03 20:45:00,1273.69602,20,45,3
2024-12-03 21:00:00,1273.639448,21,0,3
2024-12-03 21:15:00,1273.573287,21,15,3
2024-12-03 21:30:00,1273.727984,21,30,3
2024-12-03 21:45:00,1273.75746,21,45,3
2024-12-03 22:00:00,1273.68003,22,0,3
2024-12-03 22:15:00,1273.890517,22,15,3
2024-12-03 22:30:00,1273.78967,22,30,3
2024-12-03 22:45:00,1273.365652,22,45,3
2024-12-03 23:00:00,1273.59504,23,0,3
2024-12-03 23:15:00,1273.460945,23,15,3
2024-12-03 23:30:00,1273.437257,23,30,3
2024-12-03 23:45:00,1274.098246,23,45,3
2024-12-04 00:00:00,1274.297834,0,0,4
2024-12-04 00:15:00,1274.171142,0,15,4
2024-12-04 00:30:00,1274.04865,0,30,4
2024-12-04 00:45:00,1274.134334,0,45,4
2024-12-04 01:00:00,1274.467517,1,0,4
2024-12-04 01:15:00,1273.945378,1,15,4
2024-12-04 01:30:00,1273.714717,1,30,4
2024-12-04 01:45:00,1273.863688,1,45,4
2024-12-04 02:00:00,1274.05079,2,0,4
2024-12-04 02:15:00,1274.2539,2,15,4
2024-12-04 02:30:00,1275.735903,2,30,4
2024-12-04 02:45:00,1277.748982,2,45,4
2024-12-04 03:00:00,1274.467439,3,0,4
2024-12-04 03:15:00,1274.108417,3,15,4
2024-12-04 03:30:00,1274.091803,3,30,4
2024-12-04 03:45:00,1273.96249,3,45,4
2024-12-04 04:00:00,1274.345554,4,0,4
2024-12-04 04:15:00,1274.038276,4,15,4
2024-12-04 04:30:00,1274.127167,4,30,4
2024-12-04 04:45:00,1274.098539,4,45,4
2024-12-04 05:00:00,1274.578549,5,0,4
2024-12-04 05:15:00,1274.438856,5,15,4
2024-12-04 05:30:00,1274.412476,5,30,4
2024-12-04 05:45:00,1274.486125,5,45,4
2024-12-04 06:00:00,1274.25353,6,0,4
2024-12-04 06:15:00,1274.618856,6,15,4
2024-12-04 06:30:00,1274.475257,6,30,4
2024-12-04 06:45:00,1274.085965,6,45,4
2024-12-04 07:00:00,1274.175809,7,0,4
2024-12-04 07:15:00,1274.139649,7,15,4
2024-12-04 07:30:00,1274.727193,7,30,4
2024-12-04 07:45:00,1274.19087,7,45,4
2024-12-04 08:00:00,1274.521305,8,0,4
2024-12-04 08:15:00,1274.371948,8,15,4
2024-12-04 08:30:00,1274.140111,8,30,4
2024-12-04 08:45:00,1274.186454,8,45,4
2024-12-04 09:00:00,1273.979392,9,0,4
2024-12-04 09:15:00,1274.205003,9,15,4
2024-12-04 09:30:00,1274.03474,9,30,4
2024-12-04 09:45:00,1274.341876,9,45,4
2024-12-04 10:00:00,1273.527185,10,0,4
2024-12-04 10:15:00,1274.052466,10,15,4
2024-12-04 10:30:00,1274.062493,10,30,4
2024-12-04 10:45:00,1274.61585,10,45,4
2024-12-04 11:00:00,1275.035912,11,0,4
2024-12-04 11:15:00,1275.502696,11,15,4
2024-12-04 11:30:00,1275.171031,11,30,4
2024-12-04 11:45:00,1275.454183,11,45,4
2024-12-04 12:00:00,1275.099665,12,0,4
2024-12-04 12:15:00,1275.182263,12,15,4
2024-12-04 12:30:00,1275.114932,12,30,4
2024-12-04 12:45:00,1274.790843,12,45,4
2024-12-04 13:00:00,1275.25282,13,0,4
2024-12-04 13:15:00,1274.909631,13,15,4
2024-12-04 13:30:00,1274.771644,13,30,4
2024-12-04 13:45:00,1275.136803,13,45,4
2024-12-04 14:00:00,1275.023517,14,0,4
2024-12-04 14:15:00,1274.99254,14,15,4
2024-12-04 14:30:00,1274.793506,14,30,4
2024-12-04 14:45:00,1273.985637,14,45,4
2024-12-04 15:00:00,1273.638047,15,0,4
2024-12-04 15:15:00,1273.447432,15,15,4
2024-12-04 15:30:00,1273.29971,15,30,4
2024-12-04 15:45:00,1273.371465,15,45,4
2024-12-04 16:00:00,1273.241347,16,0,4
2024-12-04 16:15:00,1273.303806,16,15,4
